dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
reuters,ShaRP-GT,layer:triangle.use_bias:True,0.5599602725997194,0.695713369412708,0.2648694182709093,0.5809674741310314,0.9809333333333334,0.9532,0.2571428571428571,0.0013824190245941281
reuters,ShaRP-KMeans,layer:triangle.use_bias:True,0.5918743349654956,0.7363996964751024,0.20502971996495903,0.5933423752962713,0.7295333333333333,0.6278,0.37142857142857144,0.0013075886527076364
reuters,ShaRP-AG,layer:triangle.use_bias:True,0.5888411018526473,0.7090416802680182,0.25269035357648567,0.5791322500520573,0.7356666666666666,0.6246,0.45714285714285713,0.0013391230022534728
reuters,ShaRP-GT,layer:triangle.use_bias:False,0.5605110042092604,0.6365403716748275,0.0022392304338970785,0.6651905330589789,0.9768,0.7932,0.3142857142857143,0.0013821888715028763
reuters,ShaRP-KMeans,layer:triangle.use_bias:False,0.585549906938121,0.686456478538499,0.04797712860459008,0.5998134294327089,0.7094,0.5682,0.08571428571428563,0.0013567863497883081
reuters,ShaRP-AG,layer:triangle.use_bias:False,0.5872008533058443,0.6395005870056982,0.13127985338552908,0.602914002555402,0.7372,0.6314,0.5714285714285714,0.001348255667835474
usps,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.8377446954728975,0.9455843827849841,0.21074403761931465,0.8626483833996835,0.9206,0.8718,0.4666666666666667,0.0447720024897741
usps,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.8769647452967958,0.9357858030524296,0.5643078265853363,0.9080225009209755,0.7702666666666667,0.7268,0.8606060606060606,0.03794492878633013
usps,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.8495474042894368,0.9461499642069696,0.5049771526785755,0.9005279860012667,0.7936666666666666,0.6994,0.8303030303030303,0.03978890708806123
usps,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.8019817885061421,0.9217702946482261,0.2852740450964469,0.7740619604148368,0.9732,0.9314,0.296969696969697,0.043778635892997284
usps,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.8450286458780746,0.907592171348395,0.4540964505939032,0.7625871159260909,0.7513333333333334,0.6828,0.8787878787878787,0.039465072464707276
usps,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.8115637030037511,0.9099510866764023,0.35897566739831294,0.776328226599151,0.76,0.6734,0.7333333333333333,0.04240141666165787
usps,ShaRP-GT,layer:generalized_normal.power:5,0.7991066059616871,0.917819608853764,0.35012683096552394,0.7931838699629851,0.9746666666666668,0.9476,0.5212121212121212,0.04455684075684279
usps,ShaRP-KMeans,layer:generalized_normal.power:5,0.8461763307848695,0.915069083412078,0.47306101310515913,0.7927289708215328,0.7586,0.7104,0.915151515151515,0.04036367137549713
usps,ShaRP-AG,layer:generalized_normal.power:5,0.8183366491996679,0.9204658878103256,0.4235495570876521,0.8121980580056324,0.7672666666666667,0.6956,0.8303030303030303,0.042907334991451614
usps,ShaRP-GT,layer:generalized_normal.power:15,0.7984797869598832,0.9188170775706554,0.3289632493660753,0.7919010877560397,0.962,0.9344,0.5212121212121212,0.04454765385690603
usps,ShaRP-KMeans,layer:generalized_normal.power:15,0.8424210978438278,0.9109170804340979,0.44100402396404137,0.7950015170038585,0.7444666666666666,0.679,0.7151515151515151,0.04031755445774452
usps,ShaRP-AG,layer:generalized_normal.power:15,0.8141978810526014,0.9153535893250866,0.23741702091354996,0.7831126612765426,0.7664,0.6976,0.503030303030303,0.04264051031203227
usps,ShaRP-GT,layer:triangle.use_bias:True,0.822600744495032,0.8983499298456604,0.36259963126071054,0.774585227717321,0.9921333333333332,0.8872,0.5454545454545454,0.04271839073646071
usps,ShaRP-KMeans,layer:triangle.use_bias:True,0.8606471494430604,0.8890242189960771,0.35353279983779085,0.7465726574729409,0.7709333333333332,0.6898,0.7212121212121212,0.03862365506968476
usps,ShaRP-AG,layer:triangle.use_bias:True,0.8362145348337772,0.8993755977436073,0.26763067746724756,0.8016487151782354,0.7946666666666667,0.6388,0.3151515151515152,0.041694813112002405
usps,ShaRP-GT,layer:triangle.use_bias:False,0.8037315236377173,0.8255491166280102,0.18531963033446044,0.7631158122344217,0.9724,0.837,0.3878787878787879,0.044649898140293104
usps,ShaRP-KMeans,layer:triangle.use_bias:False,0.8322902213440999,0.8153069266672394,0.14283861208767054,0.764970577851734,0.7486,0.5232,0.4909090909090909,0.042223107756305334
usps,ShaRP-AG,layer:triangle.use_bias:False,0.8247114394525098,0.8291094407696933,0.23615156964808115,0.7578302441909921,0.7846,0.5976,0.35757575757575755,0.043089642167506034
